"Attack ID","Attack Date","Attack Time","Country / Territory","Certainty Level","Attack Type","Total Injured","Total Death","HC Facilities","HC Transport","HC Personnel","HC Supplies Assets","HC Warehouse Storage","HC Patients","HC Other","Type of Facility","Facility Other","HW Abduction","HW Arrest","HW Detention","Patient Abduction","Patient Arrest","Patient Detention"
"MMR014531","01/17/2026","12:45","Myanmar","Confirmed","Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,0,"YES","YES","YES","YES","YES","YES",NA,NA,NA,0,0,0,0,0,0
"MMR014520","01/11/2026","09:20","Myanmar","Confirmed","Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,0,"YES","NO","NO","NO","NO","NO",NA,"Secondary",NA,0,0,0,0,0,0
"MMR014480","01/10/2026","10:50","Myanmar","Confirmed","Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,0,"YES","YES","YES","YES","YES","YES",NA,NA,NA,0,0,0,0,0,0
"MMR014463","01/06/2026","06:00-12:00","Myanmar","Confirmed","Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,0,"YES","YES","YES","YES","YES","YES",NA,NA,NA,0,0,0,0,0,0
"MMR014456","01/04/2026","12:00-18:00","Myanmar","Confirmed","Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,3,"YES","YES","YES","YES","YES","YES",NA,NA,NA,0,0,0,0,0,0
"MMR014420","12/17/2025","10:10","Myanmar","Confirmed","Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,0,"YES","YES","YES","YES","YES","YES",NA,NA,NA,0,0,0,0,0,0
"MMR014435","12/13/2025","Time Unknown","Myanmar","Confirmed","Armed or violent search of health care personnel, facility or transport, Obstruction to health care delivery (e.g. physical, administrative, legal etc)",0,0,"NO","YES","YES","YES","YES","YES",NA,NA,NA,0,0,0,0,0,0
"MMR014407","12/13/2025","Time Unknown","Myanmar","Confirmed","Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",1,3,"YES","YES","YES","YES","YES","YES",NA,NA,NA,0,0,0,0,0,0
"MMR014393","12/10/2025","18:00-00:00","Myanmar","Confirmed","Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",20,33,"YES","YES","YES","YES","YES","YES",NA,NA,NA,0,0,0,0,0,0
"MMR014351","12/03/2025","12:00-18:00","Myanmar","Confirmed","Violence with heavy weapons (requires more than one person to use such as firearms, tanks, missiles, bombs, mortars)",0,5,"NO","YES","YES","YES","YES","YES",NA,NA,NA,0,0,0,0,0,0
