"COUNTRY","MMWR_WEEK_START","NEW_CONF_CASES","NEW_SUS_DEATHS","NEW_SUS_CASES","EPI_WEEK","EPI_YEAR"
"All Country",2022-12-11,0,0,0,2022,50
"All Country",2022-12-18,0,0,0,2022,51
"All Country",2022-12-25,0,0,0,2022,52
"All Country",2023-01-01,1,0,3,2023,1
"All Country",2023-01-08,1,0,1,2023,2
"All Country",2023-01-15,0,0,0,2023,3
"All Country",2023-01-22,1,0,8,2023,4
"All Country",2023-01-29,2,0,1,2023,5
"All Country",2023-02-05,0,0,1,2023,6
"All Country",2023-02-12,0,0,1,2023,7
"All Country",2023-02-19,0,0,4,2023,8
"All Country",2023-02-26,1,0,53,2023,9
"All Country",2023-03-05,0,0,1,2023,10
"All Country",2023-03-12,0,0,0,2023,11
"All Country",2023-03-19,3,0,2,2023,12
"All Country",2023-03-26,31,0,4,2023,13
"All Country",2023-04-02,21,0,15,2023,14
"All Country",2023-04-09,3,0,4,2023,15
"All Country",2023-04-16,0,0,0,2023,16
"All Country",2023-04-23,2,0,0,2023,17
"All Country",2023-04-30,0,0,0,2023,18
"All Country",2023-05-07,0,0,0,2023,19
"All Country",2023-05-14,1,0,75,2023,20
"All Country",2023-05-21,0,0,61,2023,21
"All Country",2023-05-28,0,0,133,2023,22
"All Country",2023-06-04,0,1,199,2023,23
"All Country",2023-06-11,0,0,150,2023,24
"All Country",2023-06-18,0,0,289,2023,25
"All Country",2023-06-25,0,0,0,2023,26
"All Country",2023-07-02,0,0,0,2023,27
"All Country",2023-07-09,0,0,267,2023,28
"All Country",2023-07-16,0,0,131,2023,29
"All Country",2023-07-23,0,0,2,2023,30
"All Country",2023-07-30,0,0,307,2023,31
"All Country",2023-08-06,0,0,78,2023,32
"All Country",2023-08-13,0,0,0,2023,33
"All Country",2023-08-20,0,0,17,2023,34
"All Country",2023-08-27,0,0,41,2023,35
"All Country",2023-09-03,0,0,1,2023,36
"All Country",2023-09-10,0,1,59,2023,37
"All Country",2023-09-17,0,0,97,2023,38
"All Country",2023-09-24,0,1,68,2023,39
"All Country",2023-10-01,0,0,15,2023,40
"All Country",2023-10-08,0,0,0,2023,41
"All Country",2023-10-15,0,0,1,2023,42
"All Country",2023-10-22,0,0,0,2023,43
"All Country",2023-10-29,0,0,0,2023,44
"All Country",2023-11-05,0,0,1,2023,45
"All Country",2023-11-12,0,0,0,2023,46
"All Country",2023-11-19,0,0,0,2023,47
"All Country",2023-11-26,0,0,0,2023,48
"All Country",2023-12-03,0,0,5,2023,49
"All Country",2023-12-10,0,0,0,2023,50
"All Country",2023-12-17,1,10,3387,2023,51
"All Country",2023-12-24,0,0,0,2023,52
"All Country",2023-12-31,14,2,184,2024,1
"All Country",2024-01-07,4,0,78,2024,2
"All Country",2024-01-14,0,0,0,2024,3
"All Country",2024-01-21,0,0,0,2024,4
"All Country",2024-01-28,4,0,254,2024,5
"All Country",2024-02-04,0,0,0,2024,6
"All Country",2024-02-11,0,0,1,2024,7
"All Country",2024-02-18,10,0,30,2024,8
"All Country",2024-02-25,2,0,430,2024,9
"All Country",2024-03-03,6,0,139,2024,10
"All Country",2024-03-10,8,2,702,2024,11
"All Country",2024-03-17,18,0,306,2024,12
"All Country",2024-03-24,20,0,156,2024,13
"All Country",2024-03-31,0,0,1,2024,14
"All Country",2024-04-07,10,2,90,2024,15
"All Country",2024-04-14,0,2,95,2024,16
"All Country",2024-04-21,4,0,78,2024,17
"All Country",2024-04-28,16,0,884,2024,18
"All Country",2024-05-05,38,4,302,2024,19
"All Country",2024-05-12,2,0,124,2024,20
"All Country",2024-05-19,6,0,445,2024,21
"All Country",2024-05-26,58,4,2125,2024,22
"All Country",2024-06-02,30,0,948,2024,23
