"Country","date","Year","EPI_W","New.Cases","New.Deaths","ISO_week","ISO_year"
"Bangladesh",2025-01-05,2025,1,8,0,1,2025
"Bangladesh",2025-01-12,2025,2,7,0,2,2025
"Bangladesh",2025-01-19,2025,3,7,0,3,2025
"Bangladesh",2025-01-26,2025,4,7,0,4,2025
"Bangladesh",2025-02-02,2025,5,7,0,5,2025
"Bangladesh",2025-02-09,2025,6,7,0,6,2025
"Bangladesh",2025-02-16,2025,7,7,0,7,2025
"Bangladesh",2025-02-23,2025,8,7,0,8,2025
"Bangladesh",2025-03-02,2025,9,7,0,9,2025
"Bangladesh",2025-03-09,2025,10,3,0,10,2025
"Bangladesh",2025-03-16,2025,11,6,0,11,2025
"Bangladesh",2025-03-23,2025,12,7,0,12,2025
"Bangladesh",2025-03-30,2025,13,6,0,13,2025
"Bangladesh",2025-04-06,2025,14,5,0,14,2025
"Bangladesh",2025-04-13,2025,15,7,0,15,2025
"Bangladesh",2025-04-20,2025,16,7,0,16,2025
"Bangladesh",2025-04-27,2025,17,5,0,17,2025
"Bangladesh",2025-05-04,2025,18,0,0,18,2025
"Bangladesh",2025-05-11,2025,19,0,0,19,2025
"Bangladesh",2025-05-18,2025,20,4,0,20,2025
"Bangladesh",2025-05-25,2025,21,13,0,21,2025
"Bangladesh",2025-06-01,2025,22,36,0,22,2025
"Bangladesh",2025-06-08,2025,23,36,1,23,2025
"Bangladesh",2025-06-15,2025,24,91,3,24,2025
"Bangladesh",2025-06-22,2025,25,145,12,25,2025
"Bangladesh",2025-06-29,2025,26,115,6,26,2025
"Bangladesh",2025-07-06,2025,27,84,2,27,2025
"Bangladesh",2025-07-13,2025,28,43,3,28,2025
"Bangladesh",2025-07-20,2025,29,26,0,29,2025
"Bangladesh",2025-07-27,2025,30,14,1,30,2025
"Bangladesh",2025-08-03,2025,31,7,3,31,2025
"Bangladesh",2025-08-10,2025,32,2,0,32,2025
"Bangladesh",2025-08-17,2025,33,2,0,33,2025
"Bangladesh",2025-08-24,2025,34,1,1,34,2025
"Bangladesh",2025-08-31,2025,35,0,0,35,2025
"Bangladesh",2025-09-07,2025,36,2,0,36,2025
"Bangladesh",2025-09-14,2025,37,1,0,37,2025
"Bangladesh",2025-09-21,2025,38,0,0,38,2025
"Bangladesh",2025-09-28,2025,39,0,0,39,2025
"Bangladesh",2025-10-05,2025,40,0,0,40,2025
"Bangladesh",2025-10-12,2025,41,0,0,41,2025
"Bangladesh",2025-10-19,2025,42,0,0,42,2025
"Bangladesh",2025-10-26,2025,43,0,0,43,2025
"Bangladesh",2025-11-02,2025,44,0,0,44,2025
"Bangladesh",2025-11-09,2025,45,0,0,45,2025
"Bangladesh",2025-11-16,2025,46,0,0,46,2025
"Bangladesh",2025-11-23,2025,47,2,0,47,2025
"Bangladesh",2025-11-30,2025,48,0,0,48,2025
"Bangladesh",2025-12-07,2025,49,0,0,49,2025
"Bangladesh",2025-12-14,2025,50,0,0,50,2025
"Bangladesh",2025-12-21,2025,51,0,0,51,2025
"Bangladesh",2025-12-28,2025,52,0,0,52,2025
"Bangladesh",2026-01-04,2026,1,0,0,1,2026
"Bangladesh",2026-01-11,2026,2,0,0,2,2026
"Bangladesh",2026-01-18,2026,3,0,0,3,2026
"Bangladesh",2026-01-25,2026,4,1,0,4,2026
"Bangladesh",2026-02-01,2026,5,0,0,5,2026
"Bangladesh",2026-02-08,2026,6,0,0,6,2026
"Bhutan",2025-01-05,2025,1,0,0,1,2025
"Bhutan",2025-01-12,2025,2,0,0,2,2025
"Bhutan",2025-01-19,2025,3,0,0,3,2025
"Bhutan",2025-01-26,2025,4,0,0,4,2025
"Bhutan",2025-02-02,2025,5,0,0,5,2025
"Bhutan",2025-02-09,2025,6,0,0,6,2025
"Bhutan",2025-02-16,2025,7,0,0,7,2025
"Bhutan",2025-02-23,2025,8,0,0,8,2025
"Bhutan",2025-03-02,2025,9,0,0,9,2025
"Bhutan",2025-03-09,2025,10,2,0,10,2025
"Bhutan",2025-03-16,2025,11,0,0,11,2025
"Bhutan",2025-03-23,2025,12,0,0,12,2025
"Bhutan",2025-03-30,2025,13,0,0,13,2025
"Bhutan",2025-04-06,2025,14,0,0,14,2025
"Bhutan",2025-04-13,2025,15,3,0,15,2025
"Bhutan",2025-04-20,2025,16,0,0,16,2025
"Bhutan",2025-04-27,2025,17,0,0,17,2025
"Bhutan",2025-05-04,2025,18,0,0,18,2025
"Bhutan",2025-05-11,2025,19,0,0,19,2025
"Bhutan",2025-05-18,2025,20,0,0,20,2025
"Bhutan",2025-05-25,2025,21,0,0,21,2025
"Bhutan",2025-06-01,2025,22,0,0,22,2025
"Bhutan",2025-06-08,2025,23,2,0,23,2025
"Bhutan",2025-06-15,2025,24,5,0,24,2025
"Bhutan",2025-06-22,2025,25,4,0,25,2025
"Bhutan",2025-06-29,2025,26,15,0,26,2025
"Bhutan",2025-07-06,2025,27,72,0,27,2025
"Bhutan",2025-07-13,2025,28,32,0,28,2025
"Bhutan",2025-07-20,2025,29,24,0,29,2025
"Bhutan",2025-07-27,2025,30,19,0,30,2025
"Bhutan",2025-08-03,2025,31,20,0,31,2025
"Bhutan",2025-08-10,2025,32,9,0,32,2025
"Bhutan",2025-08-17,2025,33,10,0,33,2025
"Bhutan",2025-08-24,2025,34,9,0,34,2025
"Bhutan",2025-08-31,2025,35,12,0,35,2025
