"Country","Week.start.date","Weeknum","SARS_COV_2_POS","Tested.cases","%.Pos.Rate","%.Pos.Rate.3.WMA"
"All Country",2024-12-29,1,2,919,0.217627856365615,NA
"All Country",2025-01-05,2,10,1572,0.636132315521628,NA
"All Country",2025-01-12,3,15,1574,0.952986022871665,0.602248731586303
"All Country",2025-01-19,4,7,1719,0.407213496218732,0.665443944870675
"All Country",2025-01-26,5,5,1616,0.309405940594059,0.556535153228152
"All Country",2025-02-02,6,1,1586,0.0630517023959647,0.259890379736252
"All Country",2025-02-09,7,2,1796,0.111358574610245,0.161272072533423
"All Country",2025-02-16,8,1,1582,0.0632111251580278,0.0792071340547458
"All Country",2025-02-23,9,2,1510,0.132450331125828,0.102340010298034
"All Country",2025-03-02,10,1,1786,0.0559910414333707,0.0838841659057421
"All Country",2025-03-09,11,1,1642,0.0609013398294762,0.0831142374628916
"All Country",2025-03-16,12,0,1792,0,0.0389641270876156
"All Country",2025-03-23,13,1,1540,0.0649350649350649,0.0419454682548471
"All Country",2025-03-30,14,2,1304,0.153374233128834,0.0727697660212998
"All Country",2025-04-06,15,4,1748,0.22883295194508,0.14904741666966
"All Country",2025-04-13,16,3,1293,0.232018561484919,0.204741915519611
"All Country",2025-04-20,17,12,1442,0.832177531206657,0.431009681545552
"All Country",2025-04-27,18,15,1377,1.08932461873638,0.717840237142653
"All Country",2025-05-04,19,24,1607,1.4934660858743,1.13832274527245
"All Country",2025-05-11,20,97,1551,6.25402965828498,2.94560678763189
"All Country",2025-05-18,21,153,1615,9.47368421052632,5.74039331822853
"All Country",2025-05-25,22,216,1722,12.5435540069686,9.42375595859331
"All Country",2025-06-01,23,189,1236,15.2912621359223,12.4361667844724
"All Country",2025-06-08,24,145,1261,11.4988104678826,13.1112088702579
"All Country",2025-06-15,25,228,1994,11.4343029087262,12.741458504177
"All Country",2025-06-22,26,138,2149,6.42159143787808,9.78490160482896
"All Country",2025-06-29,27,188,2241,8.38911200356983,8.74833545005803
"All Country",2025-07-06,28,107,1760,6.07954545454546,6.96341629866446
"All Country",2025-07-13,29,73,1827,3.99562123700055,6.15475956503861
"All Country",2025-07-20,30,49,2214,2.21318879855465,4.09611849670022
"All Country",2025-07-27,31,40,1480,2.7027027027027,2.97050424608597
"All Country",2025-08-03,32,30,1516,1.97889182058048,2.29826110727928
"All Country",2025-08-10,33,26,2280,1.14035087719298,1.94064846682539
"All Country",2025-08-17,34,20,2298,0.870322019147084,1.32985490564018
"All Country",2025-08-24,35,18,1988,0.905432595573441,0.972035163971169
"All Country",2025-08-31,36,6,1913,0.313643491897543,0.696466035539356
