"Country","lineage_group","ISO_week_end","ISO_week","n","percent"
"All Country","JN.1*",2025-01-05,1,1,33.3333333333333
"All Country","JN.1*",2025-01-12,2,1,33.3333333333333
"All Country","JN.1*",2025-01-19,3,1,33.3333333333333
"All Country","JN.1*",2025-01-26,4,0,0
"All Country","JN.1*",2025-02-02,5,0,0
"All Country","JN.1*",2025-02-09,6,1,20
"All Country","JN.1*",2025-02-16,7,0,0
"All Country","JN.1*",2025-02-23,8,0,0
"All Country","JN.1*",2025-03-02,9,0,0
"All Country","JN.1*",2025-03-09,10,1,20
"All Country","JN.1*",2025-03-16,11,0,0
"All Country","JN.1*",2025-03-23,12,1,50
"All Country","JN.1*",2025-03-30,13,0,0
"All Country","JN.1*",2025-04-06,14,1,16.6666666666667
"All Country","JN.1*",2025-04-13,15,1,25
"All Country","JN.1*",2025-04-20,16,1,25
"All Country","JN.1*",2025-04-27,17,2,28.5714285714286
"All Country","JN.1*",2025-05-04,18,1,16.6666666666667
"All Country","JN.1*",2025-05-11,19,2,22.2222222222222
"All Country","JN.1*",2025-05-18,20,3,30
"All Country","JN.1*",2025-05-25,21,2,20
"All Country","JN.1*",2025-06-01,22,3,27.2727272727273
"All Country","JN.1*",2025-06-08,23,3,33.3333333333333
"All Country","JN.1*",2025-06-15,24,3,27.2727272727273
"All Country","JN.1*",2025-06-22,25,1,11.1111111111111
"All Country","JN.1*",2025-06-29,26,2,22.2222222222222
"All Country","JN.1*",2025-07-06,27,3,27.2727272727273
"All Country","JN.1*",2025-07-13,28,0,0
"All Country","JN.1*",2025-07-20,29,1,14.2857142857143
"All Country","JN.1*",2025-07-27,30,1,20
"All Country","JN.1*",2025-08-03,31,1,33.3333333333333
"All Country","JN.1*",2025-08-10,32,1,100
"All Country","JN.1*",2025-08-17,33,1,33.3333333333333
"All Country","JN.1*",2025-08-24,34,0,0
"All Country","JN.1*",2025-08-31,35,1,33.3333333333333
"All Country","JN.1*",2025-09-07,36,0,0
"All Country","JN.1*",2025-09-14,37,0,0
"All Country","JN.1*",2025-09-21,38,0,0
"All Country","JN.1*",2025-09-28,39,0,0
"All Country","JN.1*",2025-10-05,40,1,25
"All Country","JN.1*",2025-10-12,41,0,0
"All Country","JN.1*",2025-10-19,42,0,0
"All Country","JN.1*",2025-10-26,43,0,0
"All Country","JN.1*",2025-11-02,44,0,0
"All Country","JN.1*",2025-11-09,45,0,0
"All Country","JN.1*",2025-11-16,46,0,0
"All Country","JN.1*",2025-11-23,47,0,0
"All Country","JN.1*",2025-11-30,48,0,0
"All Country","JN.1*",2025-12-07,49,1,100
"All Country","NB.1.8.1*",2025-02-09,6,1,20
"All Country","NB.1.8.1*",2025-02-16,7,0,0
"All Country","NB.1.8.1*",2025-02-23,8,0,0
"All Country","NB.1.8.1*",2025-03-02,9,0,0
"All Country","NB.1.8.1*",2025-03-09,10,0,0
"All Country","NB.1.8.1*",2025-03-16,11,0,0
"All Country","NB.1.8.1*",2025-03-23,12,0,0
"All Country","NB.1.8.1*",2025-03-30,13,0,0
"All Country","NB.1.8.1*",2025-04-06,14,2,33.3333333333333
"All Country","NB.1.8.1*",2025-04-13,15,0,0
"All Country","NB.1.8.1*",2025-04-20,16,1,25
"All Country","NB.1.8.1*",2025-04-27,17,1,14.2857142857143
"All Country","NB.1.8.1*",2025-05-04,18,1,16.6666666666667
"All Country","NB.1.8.1*",2025-05-11,19,2,22.2222222222222
"All Country","NB.1.8.1*",2025-05-18,20,2,20
"All Country","NB.1.8.1*",2025-05-25,21,2,20
"All Country","NB.1.8.1*",2025-06-01,22,2,18.1818181818182
"All Country","NB.1.8.1*",2025-06-08,23,2,22.2222222222222
"All Country","NB.1.8.1*",2025-06-15,24,2,18.1818181818182
"All Country","NB.1.8.1*",2025-06-22,25,2,22.2222222222222
"All Country","NB.1.8.1*",2025-06-29,26,2,22.2222222222222
"All Country","NB.1.8.1*",2025-07-06,27,2,18.1818181818182
"All Country","NB.1.8.1*",2025-07-13,28,1,16.6666666666667
"All Country","NB.1.8.1*",2025-07-20,29,2,28.5714285714286
"All Country","NB.1.8.1*",2025-07-27,30,1,20
"All Country","NB.1.8.1*",2025-08-03,31,1,33.3333333333333
"All Country","NB.1.8.1*",2025-08-10,32,0,0
"All Country","NB.1.8.1*",2025-08-17,33,1,33.3333333333333
"All Country","NB.1.8.1*",2025-08-24,34,1,50
"All Country","NB.1.8.1*",2025-08-31,35,0,0
"All Country","NB.1.8.1*",2025-09-07,36,1,33.3333333333333
"All Country","NB.1.8.1*",2025-09-14,37,0,0
"All Country","NB.1.8.1*",2025-09-21,38,0,0
"All Country","NB.1.8.1*",2025-09-28,39,0,0
"All Country","NB.1.8.1*",2025-10-05,40,1,25
"All Country","NB.1.8.1*",2025-10-12,41,1,50
"All Country","NB.1.8.1*",2025-10-19,42,0,0
"All Country","NB.1.8.1*",2025-10-26,43,1,100
"All Country","NB.1.8.1*",2025-11-02,44,0,0
"All Country","NB.1.8.1*",2025-11-09,45,1,50
"All Country","NB.1.8.1*",2025-11-16,46,1,100
"All Country","XFG*",2025-01-05,1,1,33.3333333333333
"All Country","XFG*",2025-01-12,2,1,33.3333333333333
"All Country","XFG*",2025-01-19,3,1,33.3333333333333
"All Country","XFG*",2025-01-26,4,0,0
"All Country","XFG*",2025-02-02,5,1,50
"All Country","XFG*",2025-02-09,6,1,20
"All Country","XFG*",2025-02-16,7,1,50
"All Country","XFG*",2025-02-23,8,0,0
"All Country","XFG*",2025-03-02,9,0,0
"All Country","XFG*",2025-03-09,10,2,40
"All Country","XFG*",2025-03-16,11,0,0
"All Country","XFG*",2025-03-23,12,0,0
"All Country","XFG*",2025-03-30,13,0,0
"All Country","XFG*",2025-04-06,14,1,16.6666666666667
"All Country","XFG*",2025-04-13,15,2,50
"All Country","XFG*",2025-04-20,16,1,25
"All Country","XFG*",2025-04-27,17,2,28.5714285714286
"All Country","XFG*",2025-05-04,18,2,33.3333333333333
"All Country","XFG*",2025-05-11,19,3,33.3333333333333
"All Country","XFG*",2025-05-18,20,3,30
"All Country","XFG*",2025-05-25,21,4,40
"All Country","XFG*",2025-06-01,22,3,27.2727272727273
"All Country","XFG*",2025-06-08,23,2,22.2222222222222
"All Country","XFG*",2025-06-15,24,3,27.2727272727273
"All Country","XFG*",2025-06-22,25,4,44.4444444444444
"All Country","XFG*",2025-06-29,26,4,44.4444444444444
"All Country","XFG*",2025-07-06,27,4,36.3636363636364
"All Country","XFG*",2025-07-13,28,3,50
"All Country","XFG*",2025-07-20,29,3,42.8571428571429
"All Country","XFG*",2025-07-27,30,2,40
"All Country","XFG*",2025-08-03,31,1,33.3333333333333
"All Country","XFG*",2025-08-10,32,0,0
"All Country","XFG*",2025-08-17,33,1,33.3333333333333
"All Country","XFG*",2025-08-24,34,1,50
"All Country","XFG*",2025-08-31,35,1,33.3333333333333
"All Country","XFG*",2025-09-07,36,1,33.3333333333333
"All Country","XFG*",2025-09-14,37,1,50
"All Country","XFG*",2025-09-21,38,1,100
"All Country","XFG*",2025-09-28,39,1,100
"All Country","XFG*",2025-10-05,40,1,25
"All Country","XFG*",2025-10-12,41,1,50
"All Country","XFG*",2025-10-19,42,1,100
"All Country","XFG*",2025-10-26,43,0,0
"All Country","XFG*",2025-11-02,44,1,100
"All Country","XFG*",2025-11-09,45,1,50
"All Country","XFG*",NA,NA,2,66.6666666666667
"All Country","Other",2025-01-05,1,1,33.3333333333333
"All Country","Other",2025-01-12,2,1,33.3333333333333
"All Country","Other",2025-01-19,3,1,33.3333333333333
"All Country","Other",2025-01-26,4,1,100
"All Country","Other",2025-02-02,5,1,50
"All Country","Other",2025-02-09,6,2,40
"All Country","Other",2025-02-16,7,1,50
"All Country","Other",2025-02-23,8,1,100
"All Country","Other",2025-03-02,9,1,100
"All Country","Other",2025-03-09,10,2,40
"All Country","Other",2025-03-16,11,1,100
"All Country","Other",2025-03-23,12,1,50
"All Country","Other",2025-03-30,13,0,0
"All Country","Other",2025-04-06,14,2,33.3333333333333
"All Country","Other",2025-04-13,15,1,25
"All Country","Other",2025-04-20,16,1,25
"All Country","Other",2025-04-27,17,2,28.5714285714286
"All Country","Other",2025-05-04,18,2,33.3333333333333
"All Country","Other",2025-05-11,19,2,22.2222222222222
"All Country","Other",2025-05-18,20,2,20
"All Country","Other",2025-05-25,21,2,20
"All Country","Other",2025-06-01,22,3,27.2727272727273
"All Country","Other",2025-06-08,23,2,22.2222222222222
"All Country","Other",2025-06-15,24,3,27.2727272727273
"All Country","Other",2025-06-22,25,2,22.2222222222222
"All Country","Other",2025-06-29,26,1,11.1111111111111
"All Country","Other",2025-07-06,27,2,18.1818181818182
"All Country","Other",2025-07-13,28,2,33.3333333333333
"All Country","Other",2025-07-20,29,1,14.2857142857143
"All Country","Other",2025-07-27,30,1,20
"All Country","Other",2025-08-03,31,0,0
"All Country","Other",2025-08-10,32,0,0
"All Country","Other",2025-08-17,33,0,0
"All Country","Other",2025-08-24,34,0,0
"All Country","Other",2025-08-31,35,1,33.3333333333333
"All Country","Other",2025-09-07,36,1,33.3333333333333
"All Country","Other",2025-09-14,37,1,50
"All Country","Other",2025-09-21,38,0,0
"All Country","Other",2025-09-28,39,0,0
"All Country","Other",2025-10-05,40,1,25
"All Country","Other",NA,NA,1,33.3333333333333
"Bangladesh","JN.1*",2025-04-27,17,1,100
"Bangladesh","JN.1*",2025-05-04,18,0,0
"Bangladesh","JN.1*",2025-05-11,19,0,0
"Bangladesh","JN.1*",2025-05-18,20,1,33.3333333333333
"Bangladesh","XFG*",2025-05-11,19,1,100
"Bangladesh","XFG*",2025-05-18,20,2,66.6666666666667
"Bangladesh","XFG*",2025-05-25,21,9,100
"Bhutan","JN.1*",2025-06-01,22,3,100
"Bhutan","JN.1*",2025-06-08,23,1,100
"Bhutan","JN.1*",2025-06-15,24,4,100
"Bhutan","JN.1*",2025-06-22,25,0,0
"Bhutan","JN.1*",2025-06-29,26,0,0
"Bhutan","JN.1*",2025-07-06,27,1,100
"Bhutan","JN.1*",2025-07-13,28,0,0
"Bhutan","JN.1*",2025-07-20,29,4,100
"Bhutan","JN.1*",2025-07-27,30,5,100
"Bhutan","JN.1*",2025-08-03,31,3,100
"Bhutan","JN.1*",2025-08-10,32,7,100
"Bhutan","JN.1*",2025-08-17,33,2,100
"India","JN.1*",2025-02-09,6,2,25
"India","JN.1*",2025-02-16,7,0,0
"India","JN.1*",2025-02-23,8,0,0
"India","JN.1*",2025-03-02,9,0,0
"India","JN.1*",2025-03-09,10,1,33.3333333333333
"India","JN.1*",2025-03-16,11,0,0
"India","JN.1*",2025-03-23,12,0,0
"India","JN.1*",2025-03-30,13,0,0
"India","JN.1*",2025-04-06,14,2,40
"India","JN.1*",2025-04-13,15,0,0
"India","JN.1*",2025-04-20,16,1,100
"India","JN.1*",2025-04-27,17,13,76.4705882352941
"India","JN.1*",2025-05-04,18,6,66.6666666666667
"India","JN.1*",2025-05-11,19,13,30.2325581395349
"India","JN.1*",2025-05-18,20,21,34.4262295081967
"India","JN.1*",2025-05-25,21,30,21.4285714285714
"India","JN.1*",2025-06-01,22,57,11.9747899159664
"India","JN.1*",2025-06-08,23,22,12.0879120879121
"India","JN.1*",2025-06-15,24,18,16.8224299065421
"India","JN.1*",2025-06-22,25,12,11.0091743119266
"India","JN.1*",2025-06-29,26,1,1.78571428571429
"India","JN.1*",2025-07-06,27,1,2.94117647058824
"India","NB.1.8.1*",2025-04-06,14,1,20
"India","NB.1.8.1*",2025-04-13,15,0,0
"India","NB.1.8.1*",2025-04-20,16,0,0
"India","NB.1.8.1*",2025-04-27,17,0,0
"India","NB.1.8.1*",2025-05-04,18,0,0
"India","NB.1.8.1*",2025-05-11,19,1,2.32558139534884
"India","NB.1.8.1*",2025-05-18,20,1,1.63934426229508
"India","NB.1.8.1*",2025-05-25,21,2,1.42857142857143
"India","NB.1.8.1*",2025-06-01,22,8,1.68067226890756
"India","NB.1.8.1*",2025-06-08,23,2,1.0989010989011
"India","NB.1.8.1*",2025-06-15,24,0,0
"India","NB.1.8.1*",2025-06-22,25,1,0.917431192660551
"India","NB.1.8.1*",2025-06-29,26,0,0
"India","NB.1.8.1*",2025-07-06,27,1,2.94117647058824
"India","XFG*",2025-02-09,6,2,25
"India","XFG*",2025-02-16,7,0,0
"India","XFG*",2025-02-23,8,0,0
"India","XFG*",2025-03-02,9,0,0
"India","XFG*",2025-03-09,10,1,33.3333333333333
"India","XFG*",2025-03-16,11,0,0
"India","XFG*",2025-03-23,12,0,0
"India","XFG*",2025-03-30,13,0,0
"India","XFG*",2025-04-06,14,1,20
"India","XFG*",2025-04-13,15,2,100
"India","XFG*",2025-04-20,16,0,0
"India","XFG*",2025-04-27,17,1,5.88235294117647
"India","XFG*",2025-05-04,18,1,11.1111111111111
"India","XFG*",2025-05-11,19,16,37.2093023255814
"India","XFG*",2025-05-18,20,30,49.1803278688525
"India","XFG*",2025-05-25,21,75,53.5714285714286
"India","XFG*",2025-06-01,22,338,71.0084033613445
"India","XFG*",2025-06-08,23,119,65.3846153846154
"India","XFG*",2025-06-15,24,75,70.0934579439252
"India","XFG*",2025-06-22,25,85,77.9816513761468
"India","XFG*",2025-06-29,26,48,85.7142857142857
"India","XFG*",2025-07-06,27,28,82.3529411764706
"India","XFG*",2025-07-13,28,8,88.8888888888889
"India","XFG*",2025-07-20,29,2,66.6666666666667
"India","XFG*",NA,NA,6,54.5454545454545
"India","Other",2025-02-09,6,4,50
"India","Other",2025-02-16,7,0,0
"India","Other",2025-02-23,8,0,0
"India","Other",2025-03-02,9,0,0
"India","Other",2025-03-09,10,1,33.3333333333333
"India","Other",2025-03-16,11,0,0
"India","Other",2025-03-23,12,0,0
"India","Other",2025-03-30,13,0,0
"India","Other",2025-04-06,14,1,20
"India","Other",2025-04-13,15,0,0
"India","Other",2025-04-20,16,0,0
"India","Other",2025-04-27,17,3,17.6470588235294
"India","Other",2025-05-04,18,2,22.2222222222222
"India","Other",2025-05-11,19,13,30.2325581395349
"India","Other",2025-05-18,20,9,14.7540983606557
"India","Other",2025-05-25,21,33,23.5714285714286
"India","Other",2025-06-01,22,73,15.3361344537815
"India","Other",2025-06-08,23,39,21.4285714285714
"India","Other",2025-06-15,24,14,13.0841121495327
"India","Other",2025-06-22,25,11,10.0917431192661
"India","Other",2025-06-29,26,7,12.5
"India","Other",2025-07-06,27,4,11.7647058823529
"India","Other",2025-07-13,28,1,11.1111111111111
"India","Other",2025-07-20,29,1,33.3333333333333
"India","Other",NA,NA,5,45.4545454545455
"Myanmar","NB.1.8.1*",2025-06-15,24,1,7.14285714285714
"Myanmar","NB.1.8.1*",2025-06-22,25,0,0
"Myanmar","NB.1.8.1*",2025-06-29,26,1,50
"Myanmar","XFG*",2025-05-25,21,5,100
"Myanmar","XFG*",2025-06-01,22,10,90.9090909090909
"Myanmar","XFG*",2025-06-08,23,0,0
"Myanmar","XFG*",2025-06-15,24,12,85.7142857142857
"Myanmar","XFG*",2025-06-22,25,10,100
"Myanmar","XFG*",2025-06-29,26,1,50
"Myanmar","XFG*",2025-07-06,27,1,100
"Myanmar","Other",2025-06-01,22,1,9.09090909090909
"Myanmar","Other",2025-06-08,23,0,0
"Myanmar","Other",2025-06-15,24,1,7.14285714285714
"Myanmar","Other",2025-06-22,25,0,0
"Myanmar","Other",2025-06-29,26,0,0
"Myanmar","Other",2025-07-06,27,0,0
"Myanmar","Other",2025-07-13,28,0,0
"Myanmar","Other",2025-07-20,29,0,0
"Myanmar","Other",2025-07-27,30,0,0
"Myanmar","Other",2025-08-03,31,0,0
"Myanmar","Other",2025-08-10,32,0,0
"Myanmar","Other",2025-08-17,33,0,0
"Myanmar","Other",2025-08-24,34,0,0
"Myanmar","Other",2025-08-31,35,0,0
"Myanmar","Other",2025-09-07,36,0,0
"Myanmar","Other",2025-09-14,37,2,100
"Nepal","JN.1*",2025-07-06,27,1,6.25
"Nepal","NB.1.8.1*",2025-07-20,29,1,33.3333333333333
"Nepal","XFG*",2025-06-22,25,2,100
"Nepal","XFG*",2025-06-29,26,2,100
"Nepal","XFG*",2025-07-06,27,15,93.75
"Nepal","XFG*",2025-07-13,28,7,100
"Nepal","XFG*",2025-07-20,29,2,66.6666666666667
"Nepal","XFG*",2025-07-27,30,1,100
"Nepal","XFG*",NA,NA,5,100
"Thailand","JN.1*",2025-01-05,1,3,42.8571428571429
"Thailand","JN.1*",2025-01-12,2,1,11.1111111111111
"Thailand","JN.1*",2025-01-19,3,1,16.6666666666667
"Thailand","JN.1*",2025-01-26,4,0,0
"Thailand","JN.1*",2025-02-02,5,0,0
"Thailand","JN.1*",2025-02-09,6,0,0
"Thailand","JN.1*",2025-02-16,7,0,0
"Thailand","JN.1*",2025-02-23,8,0,0
"Thailand","JN.1*",2025-03-02,9,0,0
"Thailand","JN.1*",2025-03-09,10,0,0
"Thailand","JN.1*",2025-03-16,11,0,0
"Thailand","JN.1*",2025-03-23,12,1,50
"Thailand","JN.1*",2025-03-30,13,0,0
"Thailand","JN.1*",2025-04-06,14,0,0
"Thailand","JN.1*",2025-04-13,15,2,33.3333333333333
"Thailand","JN.1*",2025-04-20,16,0,0
"Thailand","JN.1*",2025-04-27,17,0,0
"Thailand","JN.1*",2025-05-04,18,0,0
"Thailand","JN.1*",2025-05-11,19,5,7.14285714285714
"Thailand","JN.1*",2025-05-18,20,1,1.13636363636364
"Thailand","JN.1*",2025-05-25,21,1,1.28205128205128
"Thailand","JN.1*",2025-06-01,22,1,1.5625
"Thailand","JN.1*",2025-06-08,23,1,1.2987012987013
"Thailand","JN.1*",2025-06-15,24,2,4.54545454545455
"Thailand","JN.1*",2025-06-22,25,0,0
"Thailand","JN.1*",2025-06-29,26,1,6.66666666666667
"Thailand","JN.1*",2025-07-06,27,0,0
