"COUNTRY_AREA_TERRITORY","MMWR_WEEKSTARTDATE","flu_all","flu_vic","flu_ah5","flu_ah3","flu_ah1n12009","flu_ah1","flu_anot","flu_bnot","flu_byam","specimen","MMWR_WEEK","pos_rate"
"All Country",1996-12-29,0,0,0,0,0,0,0,0,0,0,1,0
"All Country",1997-01-05,0,0,0,0,0,0,0,0,0,0,0,0
"All Country",1997-01-12,0,0,0,0,0,0,0,0,0,0,0,0
"All Country",1997-01-19,0,0,0,0,0,0,0,0,0,0,4,0
"All Country",1997-01-26,0,0,0,0,0,0,0,0,0,0,5,0
"All Country",1997-02-02,0,0,0,0,0,0,0,0,0,0,0,0
"All Country",1997-02-09,0,0,0,0,0,0,0,0,0,0,0,0
"All Country",1997-02-16,0,0,0,0,0,0,0,0,0,0,0,0
"All Country",1997-02-23,0,0,0,0,0,0,0,0,0,0,9,0
"All Country",1997-03-02,0,0,0,0,0,0,0,0,0,0,10,0
"All Country",1997-03-09,0,0,0,0,0,0,0,0,0,0,11,0
"All Country",1997-03-16,0,0,0,0,0,0,0,0,0,0,12,0
"All Country",1997-03-23,0,0,0,0,0,0,0,0,0,0,13,0
"All Country",1997-03-30,0,0,0,0,0,0,0,0,0,0,14,0
"All Country",1997-04-06,0,0,0,0,0,0,0,0,0,0,15,0
"All Country",1997-04-13,0,0,0,0,0,0,0,0,0,0,16,0
"All Country",1997-04-20,0,0,0,0,0,0,0,0,0,0,17,0
"All Country",1997-04-27,0,0,0,0,0,0,0,0,0,0,18,0
"All Country",1997-05-04,0,0,0,0,0,0,0,0,0,0,0,0
"All Country",1997-05-11,0,0,0,0,0,0,0,0,0,0,0,0
"All Country",1997-05-18,0,0,0,0,0,0,0,0,0,0,0,0
"All Country",1997-05-25,0,0,0,0,0,0,0,0,0,0,22,0
"All Country",1997-06-01,0,0,0,0,0,0,0,0,0,0,0,0
"All Country",1997-06-08,0,0,0,0,0,0,0,0,0,0,0,0
"All Country",1997-06-15,0,0,0,0,0,0,0,0,0,0,0,0
"All Country",1997-06-22,0,0,0,0,0,0,0,0,0,0,26,0
"All Country",1997-06-29,0,0,0,0,0,0,0,0,0,0,27,0
"All Country",1997-07-06,0,0,0,0,0,0,0,0,0,0,28,0
"All Country",1997-07-13,0,0,0,0,0,0,0,0,0,0,29,0
"All Country",1997-07-20,0,0,0,0,0,0,0,0,0,0,30,0
"All Country",1997-07-27,0,0,0,0,0,0,0,0,0,0,31,0
"All Country",1997-08-03,0,0,0,0,0,0,0,0,0,0,32,0
"All Country",1997-08-10,0,0,0,0,0,0,0,0,0,0,0,0
"All Country",1997-08-17,0,0,0,0,0,0,0,0,0,0,34,0
"All Country",1997-08-24,0,0,0,0,0,0,0,0,0,0,35,0
"All Country",1997-08-31,0,0,0,0,0,0,0,0,0,0,36,0
"All Country",1997-09-07,0,0,0,0,0,0,0,0,0,0,37,0
"All Country",1997-09-14,0,0,0,0,0,0,0,0,0,0,38,0
"All Country",1997-09-21,0,0,0,0,0,0,0,0,0,0,39,0
"All Country",1997-09-28,0,0,0,0,0,0,0,0,0,0,40,0
"All Country",1997-10-05,0,0,0,0,0,0,0,0,0,0,41,0
"All Country",1997-10-12,0,0,0,0,0,0,0,0,0,0,42,0
"All Country",1997-10-19,0,0,0,0,0,0,0,0,0,0,43,0
"All Country",1997-10-26,0,0,0,0,0,0,0,0,0,0,44,0
"All Country",1997-11-02,0,0,0,0,0,0,0,0,0,0,0,0
"All Country",1997-11-09,0,0,0,0,0,0,0,0,0,0,0,0
"All Country",1997-11-16,0,0,0,0,0,0,0,0,0,0,47,0
"All Country",1997-11-23,0,0,0,0,0,0,0,0,0,0,48,0
"All Country",1997-11-30,0,0,0,0,0,0,0,0,0,0,0,0
"All Country",1997-12-07,0,0,0,0,0,0,0,0,0,0,0,0
"All Country",1997-12-14,8,0,0,0,0,0,8,0,0,48,51,16.67
"All Country",1997-12-21,0,0,0,0,0,0,0,0,0,0,0,0
"All Country",1997-12-28,0,0,0,0,0,0,0,0,0,0,0,0
"All Country",1998-01-04,0,0,0,0,0,0,0,0,0,0,0,0
"All Country",1998-01-11,0,0,0,0,0,0,0,0,0,0,0,0
"All Country",1998-01-18,2,0,0,0,0,0,2,0,0,77,3,2.6
"All Country",1998-01-25,0,0,0,0,0,0,0,0,0,0,0,0
"All Country",1998-02-01,0,0,0,0,0,0,0,0,0,0,0,0
"All Country",1998-02-08,0,0,0,0,0,0,0,0,0,0,0,0
"All Country",1998-02-15,0,0,0,0,0,0,0,0,0,0,7,0
"All Country",1998-02-22,0,0,0,0,0,0,0,0,0,0,0,0
"All Country",1998-03-01,0,0,0,0,0,0,0,0,0,0,0,0
"All Country",1998-03-08,0,0,0,0,0,0,0,0,0,0,0,0
"All Country",1998-03-15,0,0,0,0,0,0,0,0,0,0,0,0
"All Country",1998-03-22,14,0,0,0,0,0,14,0,0,0,12,0
"All Country",1998-03-29,0,0,0,0,0,0,0,0,0,0,0,0
"All Country",1998-04-05,0,0,0,0,0,0,0,0,0,0,0,0
"All Country",1998-04-12,3,0,0,3,0,0,0,0,0,0,15,0
"All Country",1998-04-19,9,0,0,0,0,0,9,0,0,0,16,0
"All Country",1998-04-26,0,0,0,0,0,0,0,0,0,0,17,0
"All Country",1998-05-03,0,0,0,0,0,0,0,0,0,0,0,0
"All Country",1998-05-10,0,0,0,0,0,0,0,0,0,0,0,0
"All Country",1998-05-17,0,0,0,0,0,0,0,0,0,0,20,0
"All Country",1998-05-24,0,0,0,0,0,0,0,0,0,0,0,0
"All Country",1998-05-31,0,0,0,0,0,0,0,0,0,0,0,0
"All Country",1998-06-07,0,0,0,0,0,0,0,0,0,0,0,0
"All Country",1998-06-14,0,0,0,0,0,0,0,0,0,0,0,0
"All Country",1998-06-21,0,0,0,0,0,0,0,0,0,0,0,0
"All Country",1998-06-28,0,0,0,0,0,0,0,0,0,0,26,0
"All Country",1998-07-05,0,0,0,0,0,0,0,0,0,0,0,0
"All Country",1998-07-12,0,0,0,0,0,0,0,0,0,0,28,0
"All Country",1998-07-19,10,0,0,0,0,0,10,0,0,0,29,0
"All Country",1998-07-26,1,0,0,1,0,0,0,0,0,0,30,0
"All Country",1998-08-02,0,0,0,0,0,0,0,0,0,0,31,0
"All Country",1998-08-09,0,0,0,0,0,0,0,0,0,0,32,0
"All Country",1998-08-16,0,0,0,0,0,0,0,0,0,0,33,0
"All Country",1998-08-23,0,0,0,0,0,0,0,0,0,0,34,0
"All Country",1998-08-30,0,0,0,0,0,0,0,0,0,0,35,0
"All Country",1998-09-06,0,0,0,0,0,0,0,0,0,0,36,0
"All Country",1998-09-13,0,0,0,0,0,0,0,0,0,0,37,0
"All Country",1998-09-20,0,0,0,0,0,0,0,0,0,0,38,0
"All Country",1998-09-27,0,0,0,0,0,0,0,0,0,0,39,0
"All Country",1998-10-04,0,0,0,0,0,0,0,0,0,0,40,0
"All Country",1998-10-11,0,0,0,0,0,0,0,0,0,0,41,0
"All Country",1998-10-18,0,0,0,0,0,0,0,0,0,0,42,0
"All Country",1998-10-25,0,0,0,0,0,0,0,0,0,0,43,0
"All Country",1998-11-01,0,0,0,0,0,0,0,0,0,0,44,0
"All Country",1998-11-08,0,0,0,0,0,0,0,0,0,0,45,0
"All Country",1998-11-15,0,0,0,0,0,0,0,0,0,0,46,0
"All Country",1998-11-22,0,0,0,0,0,0,0,0,0,0,47,0
"All Country",1998-11-29,0,0,0,0,0,0,0,0,0,0,48,0
"All Country",1998-12-06,0,0,0,0,0,0,0,0,0,0,49,0
"All Country",1998-12-13,0,0,0,0,0,0,0,0,0,0,50,0
"All Country",1998-12-20,0,0,0,0,0,0,0,0,0,0,51,0
"All Country",1998-12-27,0,0,0,0,0,0,0,0,0,0,52,0
"All Country",1999-01-03,0,0,0,0,0,0,0,0,0,0,1,0
"All Country",1999-01-10,0,0,0,0,0,0,0,0,0,0,2,0
"All Country",1999-01-17,0,0,0,0,0,0,0,0,0,0,3,0
"All Country",1999-01-24,0,0,0,0,0,0,0,0,0,0,4,0
"All Country",1999-01-31,0,0,0,0,0,0,0,0,0,0,5,0
"All Country",1999-02-07,0,0,0,0,0,0,0,0,0,0,6,0
"All Country",1999-02-14,0,0,0,0,0,0,0,0,0,0,7,0
"All Country",1999-02-21,0,0,0,0,0,0,0,0,0,0,8,0
"All Country",1999-02-28,0,0,0,0,0,0,0,0,0,0,9,0
"All Country",1999-03-07,0,0,0,0,0,0,0,0,0,0,10,0
"All Country",1999-03-14,0,0,0,0,0,0,0,0,0,0,11,0
"All Country",1999-03-21,0,0,0,0,0,0,0,0,0,0,12,0
"All Country",1999-03-28,0,0,0,0,0,0,0,0,0,0,0,0
"All Country",1999-04-04,0,0,0,0,0,0,0,0,0,0,0,0
"All Country",1999-04-11,0,0,0,0,0,0,0,0,0,0,15,0
"All Country",1999-04-18,0,0,0,0,0,0,0,0,0,0,16,0
"All Country",1999-04-25,0,0,0,0,0,0,0,0,0,0,17,0
