"Country","iso_date","iso_week","iso_year","cases"
"Bangladesh",2021-01-04,1,2021,10
"Bangladesh",2021-01-11,2,2021,10
"Bangladesh",2021-01-18,3,2021,6
"Bangladesh",2021-01-25,4,2021,1
"Bangladesh",2021-02-01,5,2021,5
"Bangladesh",2021-02-08,6,2021,0
"Bangladesh",2021-02-15,7,2021,1
"Bangladesh",2021-02-22,8,2021,3
"Bangladesh",2021-03-01,9,2021,2
"Bangladesh",2021-03-08,10,2021,0
"Bangladesh",2021-03-15,11,2021,4
"Bangladesh",2021-03-22,12,2021,6
"Bangladesh",2021-03-29,13,2021,1
"Bangladesh",2021-04-05,14,2021,0
"Bangladesh",2021-04-12,15,2021,0
"Bangladesh",2021-04-19,16,2021,1
"Bangladesh",2021-04-26,17,2021,2
"Bangladesh",2021-05-03,18,2021,5
"Bangladesh",2021-05-10,19,2021,2
"Bangladesh",2021-05-17,20,2021,11
"Bangladesh",2021-05-24,21,2021,22
"Bangladesh",2021-05-31,22,2021,23
"Bangladesh",2021-06-07,23,2021,27
"Bangladesh",2021-06-14,24,2021,61
"Bangladesh",2021-06-21,25,2021,118
"Bangladesh",2021-06-28,26,2021,140
"Bangladesh",2021-07-05,27,2021,261
"Bangladesh",2021-07-12,28,2021,480
"Bangladesh",2021-07-19,29,2021,473
"Bangladesh",2021-07-26,30,2021,1216
"Bangladesh",2021-08-02,31,2021,1659
"Bangladesh",2021-08-09,32,2021,1573
"Bangladesh",2021-08-16,33,2021,1922
"Bangladesh",2021-08-23,34,2021,1816
"Bangladesh",2021-08-30,35,2021,1971
"Bangladesh",2021-09-06,36,2021,2076
"Bangladesh",2021-09-13,37,2021,1786
"Bangladesh",2021-09-20,38,2021,1656
"Bangladesh",2021-09-27,39,2021,1387
"Bangladesh",2021-10-04,40,2021,1385
"Bangladesh",2021-10-11,41,2021,1273
"Bangladesh",2021-10-18,42,2021,1096
"Bangladesh",2021-10-25,43,2021,1157
"Bangladesh",2021-11-01,44,2021,990
"Bangladesh",2021-11-08,45,2021,989
"Bangladesh",2021-11-15,46,2021,819
"Bangladesh",2021-11-22,47,2021,625
"Bangladesh",2021-11-29,48,2021,526
"Bangladesh",2021-12-06,49,2021,355
"Bangladesh",2021-12-13,50,2021,218
