"COUNTRY_AREA_TERRITORY","MMWR_WEEKSTARTDATE","pos_rate","Flu_Type","Cases","Label","Color"
"All Country",2025-01-05,14.99,"flu_ah1",0,"A(H1)","#C9C9C9"
"All Country",2025-01-05,14.99,"flu_ah3",48,"A(H3)","#00A1D5"
"All Country",2025-01-05,14.99,"flu_ah5",0,"A(H5)","#74F907"
"All Country",2025-01-05,14.99,"flu_ah1n12009",143,"A(H1N1)pdm2009","#8FE6E7"
"All Country",2025-01-05,14.99,"flu_byam",0,"B Yamagata","#FFB86D"
"All Country",2025-01-05,14.99,"flu_vic",63,"B Victoria","#F79700"
"All Country",2025-01-05,14.99,"flu_anot",5,"A not Subtyped","#104f82"
"All Country",2025-01-05,14.99,"flu_bnot",4,"B not Determined","#9c4b30"
"All Country",2025-01-12,12.7,"flu_ah1",0,"A(H1)","#C9C9C9"
"All Country",2025-01-12,12.7,"flu_ah3",53,"A(H3)","#00A1D5"
"All Country",2025-01-12,12.7,"flu_ah5",0,"A(H5)","#74F907"
"All Country",2025-01-12,12.7,"flu_ah1n12009",92,"A(H1N1)pdm2009","#8FE6E7"
"All Country",2025-01-12,12.7,"flu_byam",0,"B Yamagata","#FFB86D"
"All Country",2025-01-12,12.7,"flu_vic",68,"B Victoria","#F79700"
"All Country",2025-01-12,12.7,"flu_anot",0,"A not Subtyped","#104f82"
"All Country",2025-01-12,12.7,"flu_bnot",4,"B not Determined","#9c4b30"
"All Country",2025-01-19,13.83,"flu_ah1",0,"A(H1)","#C9C9C9"
"All Country",2025-01-19,13.83,"flu_ah3",62,"A(H3)","#00A1D5"
"All Country",2025-01-19,13.83,"flu_ah5",0,"A(H5)","#74F907"
"All Country",2025-01-19,13.83,"flu_ah1n12009",105,"A(H1N1)pdm2009","#8FE6E7"
"All Country",2025-01-19,13.83,"flu_byam",0,"B Yamagata","#FFB86D"
"All Country",2025-01-19,13.83,"flu_vic",94,"B Victoria","#F79700"
"All Country",2025-01-19,13.83,"flu_anot",6,"A not Subtyped","#104f82"
"All Country",2025-01-19,13.83,"flu_bnot",6,"B not Determined","#9c4b30"
"All Country",2025-01-26,12.73,"flu_ah1",0,"A(H1)","#C9C9C9"
"All Country",2025-01-26,12.73,"flu_ah3",90,"A(H3)","#00A1D5"
"All Country",2025-01-26,12.73,"flu_ah5",0,"A(H5)","#74F907"
"All Country",2025-01-26,12.73,"flu_ah1n12009",57,"A(H1N1)pdm2009","#8FE6E7"
"All Country",2025-01-26,12.73,"flu_byam",0,"B Yamagata","#FFB86D"
"All Country",2025-01-26,12.73,"flu_vic",79,"B Victoria","#F79700"
"All Country",2025-01-26,12.73,"flu_anot",15,"A not Subtyped","#104f82"
"All Country",2025-01-26,12.73,"flu_bnot",1,"B not Determined","#9c4b30"
"All Country",2025-02-02,11.87,"flu_ah1",0,"A(H1)","#C9C9C9"
"All Country",2025-02-02,11.87,"flu_ah3",69,"A(H3)","#00A1D5"
"All Country",2025-02-02,11.87,"flu_ah5",0,"A(H5)","#74F907"
"All Country",2025-02-02,11.87,"flu_ah1n12009",48,"A(H1N1)pdm2009","#8FE6E7"
"All Country",2025-02-02,11.87,"flu_byam",0,"B Yamagata","#FFB86D"
"All Country",2025-02-02,11.87,"flu_vic",73,"B Victoria","#F79700"
"All Country",2025-02-02,11.87,"flu_anot",10,"A not Subtyped","#104f82"
"All Country",2025-02-02,11.87,"flu_bnot",8,"B not Determined","#9c4b30"
"All Country",2025-02-09,13.89,"flu_ah1",0,"A(H1)","#C9C9C9"
"All Country",2025-02-09,13.89,"flu_ah3",92,"A(H3)","#00A1D5"
"All Country",2025-02-09,13.89,"flu_ah5",0,"A(H5)","#74F907"
"All Country",2025-02-09,13.89,"flu_ah1n12009",49,"A(H1N1)pdm2009","#8FE6E7"
"All Country",2025-02-09,13.89,"flu_byam",0,"B Yamagata","#FFB86D"
"All Country",2025-02-09,13.89,"flu_vic",106,"B Victoria","#F79700"
"All Country",2025-02-09,13.89,"flu_anot",18,"A not Subtyped","#104f82"
"All Country",2025-02-09,13.89,"flu_bnot",14,"B not Determined","#9c4b30"
"All Country",2025-02-16,12.61,"flu_ah1",0,"A(H1)","#C9C9C9"
"All Country",2025-02-16,12.61,"flu_ah3",67,"A(H3)","#00A1D5"
"All Country",2025-02-16,12.61,"flu_ah5",0,"A(H5)","#74F907"
"All Country",2025-02-16,12.61,"flu_ah1n12009",39,"A(H1N1)pdm2009","#8FE6E7"
"All Country",2025-02-16,12.61,"flu_byam",0,"B Yamagata","#FFB86D"
"All Country",2025-02-16,12.61,"flu_vic",91,"B Victoria","#F79700"
"All Country",2025-02-16,12.61,"flu_anot",17,"A not Subtyped","#104f82"
"All Country",2025-02-16,12.61,"flu_bnot",7,"B not Determined","#9c4b30"
"All Country",2025-02-23,13.11,"flu_ah1",0,"A(H1)","#C9C9C9"
"All Country",2025-02-23,13.11,"flu_ah3",82,"A(H3)","#00A1D5"
"All Country",2025-02-23,13.11,"flu_ah5",0,"A(H5)","#74F907"
"All Country",2025-02-23,13.11,"flu_ah1n12009",62,"A(H1N1)pdm2009","#8FE6E7"
"All Country",2025-02-23,13.11,"flu_byam",0,"B Yamagata","#FFB86D"
"All Country",2025-02-23,13.11,"flu_vic",72,"B Victoria","#F79700"
"All Country",2025-02-23,13.11,"flu_anot",28,"A not Subtyped","#104f82"
"All Country",2025-02-23,13.11,"flu_bnot",6,"B not Determined","#9c4b30"
"All Country",2025-03-02,12.04,"flu_ah1",0,"A(H1)","#C9C9C9"
"All Country",2025-03-02,12.04,"flu_ah3",57,"A(H3)","#00A1D5"
"All Country",2025-03-02,12.04,"flu_ah5",0,"A(H5)","#74F907"
