"COUNTRY_AREA_TERRITORY","MMWR_WEEKSTARTDATE","ILI_CASE","ILI_OUTPATIENTS","SARI_CASE","SARI_INPATIENTS","ili_1000","sari_100","MMWR_WEEK"
"Bangladesh",2011-02-06,0,0,0,0,0,0,6
"Bhutan",2011-02-06,0,0,0,0,0,0,6
"DPR Korea",2011-02-06,0,0,0,0,0,0,6
"Maldives",2011-02-06,0,0,0,0,0,0,6
"Nepal",2011-02-06,0,0,0,0,0,0,6
"Sri Lanka",2011-02-06,0,0,0,0,0,0,6
"Thailand",2011-02-06,151607,2500732,0,0,6.06,0,6
"Timor-Leste",2011-02-06,0,0,0,0,0,0,6
"All Country",2011-02-06,151607,2500732,0,0,6.06,0,6
"Bangladesh",2011-02-13,0,0,0,0,0,0,7
"Bhutan",2011-02-13,0,0,0,0,0,0,7
"DPR Korea",2011-02-13,0,0,0,0,0,0,7
"Maldives",2011-02-13,0,0,0,0,0,0,7
"Nepal",2011-02-13,0,0,0,0,0,0,7
"Sri Lanka",2011-02-13,0,0,0,0,0,0,7
"Thailand",2011-02-13,129853,2207959,0,0,5.88,0,7
"Timor-Leste",2011-02-13,0,0,0,0,0,0,7
"All Country",2011-02-13,129853,2207959,0,0,5.88,0,7
"Bangladesh",2011-02-20,0,0,0,0,0,0,8
"Bhutan",2011-02-20,0,0,0,0,0,0,8
"DPR Korea",2011-02-20,0,0,0,0,0,0,8
"Maldives",2011-02-20,0,0,0,0,0,0,8
"Nepal",2011-02-20,0,0,0,0,0,0,8
"Sri Lanka",2011-02-20,0,0,0,0,0,0,8
"Thailand",2011-02-20,0,0,0,0,0,0,8
"Timor-Leste",2011-02-20,0,0,0,0,0,0,8
"All Country",2011-02-20,0,0,0,0,0,0,8
"Bangladesh",2011-02-27,0,0,0,0,0,0,9
"Bhutan",2011-02-27,0,0,0,0,0,0,9
"DPR Korea",2011-02-27,0,0,0,0,0,0,9
"Maldives",2011-02-27,0,0,0,0,0,0,9
"Nepal",2011-02-27,0,0,0,0,0,0,9
"Sri Lanka",2011-02-27,0,0,0,0,0,0,9
"Thailand",2011-02-27,119435,2362863,0,0,5.05,0,9
"Timor-Leste",2011-02-27,0,0,0,0,0,0,9
"All Country",2011-02-27,119435,2362863,0,0,5.05,0,9
"Bangladesh",2011-03-06,0,0,0,0,0,0,10
"Bhutan",2011-03-06,0,0,0,0,0,0,10
"DPR Korea",2011-03-06,0,0,0,0,0,0,10
"Maldives",2011-03-06,0,0,0,0,0,0,10
"Nepal",2011-03-06,0,0,0,0,0,0,10
"Sri Lanka",2011-03-06,0,0,0,0,0,0,10
"Thailand",2011-03-06,116299,2393665,0,0,4.86,0,10
"Timor-Leste",2011-03-06,0,0,0,0,0,0,10
"All Country",2011-03-06,116299,2393665,0,0,4.86,0,10
"Bangladesh",2011-03-13,0,0,0,0,0,0,11
"Bhutan",2011-03-13,0,0,0,0,0,0,11
"DPR Korea",2011-03-13,0,0,0,0,0,0,11
"Maldives",2011-03-13,0,0,0,0,0,0,11
"Nepal",2011-03-13,0,0,0,0,0,0,11
"Sri Lanka",2011-03-13,0,0,0,0,0,0,11
"Thailand",2011-03-13,108030,2206077,0,0,4.9,0,11
"Timor-Leste",2011-03-13,0,0,0,0,0,0,11
"All Country",2011-03-13,108030,2206077,0,0,4.9,0,11
"Bangladesh",2011-03-20,0,0,0,0,0,0,12
"Bhutan",2011-03-20,0,0,0,0,0,0,12
"DPR Korea",2011-03-20,0,0,0,0,0,0,12
"Maldives",2011-03-20,0,0,0,0,0,0,12
"Nepal",2011-03-20,0,0,0,0,0,0,12
"Sri Lanka",2011-03-20,0,0,0,0,0,0,12
"Thailand",2011-03-20,101941,2211281,0,0,4.61,0,12
"Timor-Leste",2011-03-20,0,0,0,0,0,0,12
"All Country",2011-03-20,101941,2211281,0,0,4.61,0,12
"Bangladesh",2011-03-27,0,0,0,0,0,0,13
"Bhutan",2011-03-27,0,0,0,0,0,0,13
"DPR Korea",2011-03-27,0,0,0,0,0,0,13
"Maldives",2011-03-27,0,0,0,0,0,0,13
"Nepal",2011-03-27,0,0,0,0,0,0,13
"Sri Lanka",2011-03-27,0,0,0,0,0,0,13
"Thailand",2011-03-27,62797,1330042,0,0,4.72,0,13
"Timor-Leste",2011-03-27,0,0,0,0,0,0,13
"All Country",2011-03-27,62797,1330042,0,0,4.72,0,13
"Bangladesh",2011-04-03,0,0,0,0,0,0,14
"Bhutan",2011-04-03,0,0,0,0,0,0,14
"DPR Korea",2011-04-03,0,0,0,0,0,0,14
"Maldives",2011-04-03,0,0,0,0,0,0,14
"Nepal",2011-04-03,0,0,0,0,0,0,14
"Sri Lanka",2011-04-03,0,0,0,0,0,0,14
"Thailand",2011-04-03,70954,1784271,0,0,3.98,0,14
"Timor-Leste",2011-04-03,0,0,0,0,0,0,14
"All Country",2011-04-03,70954,1784271,0,0,3.98,0,14
"Bangladesh",2011-04-10,0,0,0,0,0,0,15
"Bhutan",2011-04-10,0,0,0,0,0,0,15
"DPR Korea",2011-04-10,0,0,0,0,0,0,15
"Maldives",2011-04-10,0,0,0,0,0,0,15
"Nepal",2011-04-10,0,0,0,0,0,0,15
"Sri Lanka",2011-04-10,0,0,0,0,0,0,15
"Thailand",2011-04-10,24133,566247,0,0,4.26,0,15
"Timor-Leste",2011-04-10,0,0,0,0,0,0,15
"All Country",2011-04-10,24133,566247,0,0,4.26,0,15
"Bangladesh",2011-04-17,0,0,0,0,0,0,16
"Bhutan",2011-04-17,0,0,0,0,0,0,16
"DPR Korea",2011-04-17,0,0,0,0,0,0,16
"Maldives",2011-04-17,0,0,0,0,0,0,16
"Nepal",2011-04-17,0,0,0,0,0,0,16
"Sri Lanka",2011-04-17,0,0,0,0,0,0,16
"Thailand",2011-04-17,71154,2224970,0,0,3.2,0,16
"Timor-Leste",2011-04-17,0,0,0,0,0,0,16
"All Country",2011-04-17,71154,2224970,0,0,3.2,0,16
"Bangladesh",2011-04-24,0,0,0,0,0,0,17
"Bhutan",2011-04-24,0,0,0,0,0,0,17
"DPR Korea",2011-04-24,0,0,0,0,0,0,17
"Maldives",2011-04-24,0,0,0,0,0,0,17
"Nepal",2011-04-24,0,0,0,0,0,0,17
"Sri Lanka",2011-04-24,0,0,0,0,0,0,17
"Thailand",2011-04-24,63850,2027396,0,0,3.15,0,17
"Timor-Leste",2011-04-24,0,0,0,0,0,0,17
"All Country",2011-04-24,63850,2027396,0,0,3.15,0,17
"Bangladesh",2011-05-01,0,0,0,0,0,0,18
"Bhutan",2011-05-01,208,10336,0,0,2.01,0,18
"DPR Korea",2011-05-01,0,0,0,0,0,0,18
"Maldives",2011-05-01,0,0,0,0,0,0,18
"Nepal",2011-05-01,0,0,0,0,0,0,18
"Sri Lanka",2011-05-01,0,0,0,0,0,0,18
"Thailand",2011-05-01,52051,1679413,0,0,3.1,0,18
"Timor-Leste",2011-05-01,0,0,0,0,0,0,18
"All Country",2011-05-01,52259,1689749,0,0,3.09,0,18
"Bangladesh",2011-05-08,0,0,0,0,0,0,19
"Bhutan",2011-05-08,0,0,0,0,0,0,19
"DPR Korea",2011-05-08,0,0,0,0,0,0,19
"Maldives",2011-05-08,0,0,0,0,0,0,19
"Nepal",2011-05-08,0,0,0,0,0,0,19
"Sri Lanka",2011-05-08,0,0,0,0,0,0,19
"Thailand",2011-05-08,42780,1469809,0,0,2.91,0,19
"Timor-Leste",2011-05-08,0,0,0,0,0,0,19
"All Country",2011-05-08,42780,1469809,0,0,2.91,0,19
"Bangladesh",2011-05-15,0,0,0,0,0,0,20
"Bhutan",2011-05-15,171,9267,12,0,1.85,0,20
"DPR Korea",2011-05-15,0,0,0,0,0,0,20
"Maldives",2011-05-15,0,0,0,0,0,0,20
"Nepal",2011-05-15,0,0,0,0,0,0,20
"Sri Lanka",2011-05-15,0,0,0,0,0,0,20
"Thailand",2011-05-15,62490,1813906,0,0,3.45,0,20
"Timor-Leste",2011-05-15,0,0,0,0,0,0,20
"All Country",2011-05-15,62661,1823173,12,0,3.44,0,20
"Bangladesh",2011-05-22,0,0,0,0,0,0,21
"Bhutan",2011-05-22,120,8285,2,0,1.45,0,21
"DPR Korea",2011-05-22,0,0,0,0,0,0,21
"Maldives",2011-05-22,0,0,0,0,0,0,21
"Nepal",2011-05-22,0,0,0,0,0,0,21
"Sri Lanka",2011-05-22,0,0,0,0,0,0,21
"Thailand",2011-05-22,76171,2266833,0,0,3.36,0,21
"Timor-Leste",2011-05-22,0,0,0,0,0,0,21
"All Country",2011-05-22,76291,2275118,2,0,3.35,0,21
"Bangladesh",2011-05-29,0,0,0,0,0,0,22
"Bhutan",2011-05-29,0,0,0,0,0,0,22
"DPR Korea",2011-05-29,0,0,0,0,0,0,22
"Maldives",2011-05-29,0,0,0,0,0,0,22
"Nepal",2011-05-29,0,0,0,0,0,0,22
"Sri Lanka",2011-05-29,0,0,0,0,0,0,22
"Thailand",2011-05-29,98400,2202309,0,0,4.47,0,22
"Timor-Leste",2011-05-29,0,0,0,0,0,0,22
"All Country",2011-05-29,98400,2202309,0,0,4.47,0,22
"Bangladesh",2011-06-05,0,0,0,0,0,0,23
"Bhutan",2011-06-05,164,8880,9,0,1.85,0,23
"DPR Korea",2011-06-05,0,0,0,0,0,0,23
"Maldives",2011-06-05,0,0,0,0,0,0,23
"Nepal",2011-06-05,0,0,0,0,0,0,23
"Sri Lanka",2011-06-05,0,0,0,0,0,0,23
"Thailand",2011-06-05,98564,2204486,0,0,4.47,0,23
"Timor-Leste",2011-06-05,0,0,0,0,0,0,23
"All Country",2011-06-05,98728,2213366,9,0,4.46,0,23
"Bangladesh",2011-06-12,0,0,0,0,0,0,24
"Bhutan",2011-06-12,0,0,0,0,0,0,24
"DPR Korea",2011-06-12,0,0,0,0,0,0,24
"Maldives",2011-06-12,0,0,0,0,0,0,24
"Nepal",2011-06-12,0,0,0,0,0,0,24
"Sri Lanka",2011-06-12,0,0,0,0,0,0,24
"Thailand",2011-06-12,105526,2265618,0,0,4.66,0,24
"Timor-Leste",2011-06-12,0,0,0,0,0,0,24
"All Country",2011-06-12,105526,2265618,0,0,4.66,0,24
"Bangladesh",2011-06-19,0,0,0,0,0,0,25
"Bhutan",2011-06-19,0,0,0,0,0,0,25
"DPR Korea",2011-06-19,0,0,0,0,0,0,25
"Maldives",2011-06-19,0,0,0,0,0,0,25
"Nepal",2011-06-19,0,0,0,0,0,0,25
"Sri Lanka",2011-06-19,0,0,0,0,0,0,25
"Thailand",2011-06-19,106659,2320918,0,0,4.6,0,25
"Timor-Leste",2011-06-19,0,0,0,0,0,0,25
"All Country",2011-06-19,106659,2320918,0,0,4.6,0,25
"Bangladesh",2011-06-26,0,0,0,0,0,0,26
"Bhutan",2011-06-26,0,0,0,0,0,0,26
"DPR Korea",2011-06-26,0,0,0,0,0,0,26
"Maldives",2011-06-26,0,0,0,0,0,0,26
"Nepal",2011-06-26,0,0,0,0,0,0,26
"Sri Lanka",2011-06-26,0,0,0,0,0,0,26
"Thailand",2011-06-26,99828,2250345,0,0,4.44,0,26
"Timor-Leste",2011-06-26,0,0,0,0,0,0,26
"All Country",2011-06-26,99828,2250345,0,0,4.44,0,26
"Bangladesh",2011-07-03,0,0,0,0,0,0,27
"Bhutan",2011-07-03,80,12868,3,0,0.62,0,27
"DPR Korea",2011-07-03,0,0,0,0,0,0,27
"Maldives",2011-07-03,0,0,0,0,0,0,27
"Nepal",2011-07-03,0,0,0,0,0,0,27
"Sri Lanka",2011-07-03,0,0,0,0,0,0,27
"Thailand",2011-07-03,105004,2265618,0,0,4.63,0,27
"Timor-Leste",2011-07-03,0,0,0,0,0,0,27
"All Country",2011-07-03,105084,2278486,3,0,4.61,0,27
"Bangladesh",2011-07-10,0,0,0,0,0,0,28
"Bhutan",2011-07-10,143,7639,10,0,1.87,0,28
"DPR Korea",2011-07-10,0,0,0,0,0,0,28
"Maldives",2011-07-10,0,0,0,0,0,0,28
"Nepal",2011-07-10,0,0,0,0,0,0,28
"Sri Lanka",2011-07-10,0,0,0,0,0,0,28
"Thailand",2011-07-10,95698,2041020,0,0,4.69,0,28
"Timor-Leste",2011-07-10,0,0,0,0,0,0,28
"All Country",2011-07-10,95841,2048659,10,0,4.68,0,28
"Bangladesh",2011-07-17,0,0,0,0,0,0,29
"Bhutan",2011-07-17,0,0,0,0,0,0,29
"DPR Korea",2011-07-17,0,0,0,0,0,0,29
"Maldives",2011-07-17,0,0,0,0,0,0,29
"Nepal",2011-07-17,0,0,0,0,0,0,29
"Sri Lanka",2011-07-17,0,0,0,0,0,0,29
"Thailand",2011-07-17,103356,2193787,0,0,4.71,0,29
"Timor-Leste",2011-07-17,0,0,0,0,0,0,29
"All Country",2011-07-17,103356,2193787,0,0,4.71,0,29
"Bangladesh",2011-07-24,0,0,0,0,0,0,30
"Bhutan",2011-07-24,96,7676,19,0,1.25,0,30
"DPR Korea",2011-07-24,0,0,0,0,0,0,30
"Maldives",2011-07-24,0,0,0,0,0,0,30
"Nepal",2011-07-24,0,0,0,0,0,0,30
"Sri Lanka",2011-07-24,0,0,0,0,0,0,30
"Thailand",2011-07-24,110554,2365388,0,0,4.67,0,30
"Timor-Leste",2011-07-24,0,0,0,0,0,0,30
"All Country",2011-07-24,110650,2373064,19,0,4.66,0,30
"Bangladesh",2011-07-31,0,0,0,0,0,0,31
"Bhutan",2011-07-31,0,0,0,0,0,0,31
"DPR Korea",2011-07-31,0,0,0,0,0,0,31
"Maldives",2011-07-31,0,0,0,0,0,0,31
"Nepal",2011-07-31,0,0,0,0,0,0,31
"Sri Lanka",2011-07-31,0,0,0,0,0,0,31
"Thailand",2011-07-31,120193,2344726,0,0,5.13,0,31
"Timor-Leste",2011-07-31,0,0,0,0,0,0,31
"All Country",2011-07-31,120193,2344726,0,0,5.13,0,31
"Bangladesh",2011-08-07,0,0,0,0,0,0,32
"Bhutan",2011-08-07,0,0,0,0,0,0,32
"DPR Korea",2011-08-07,0,0,0,0,0,0,32
"Maldives",2011-08-07,0,0,0,0,0,0,32
"Nepal",2011-08-07,0,0,0,0,0,0,32
"Sri Lanka",2011-08-07,0,0,0,0,0,0,32
"Thailand",2011-08-07,124174,2081773,0,0,5.96,0,32
"Timor-Leste",2011-08-07,0,0,0,0,0,0,32
"All Country",2011-08-07,124174,2081773,0,0,5.96,0,32
"Bangladesh",2011-08-14,0,0,0,0,0,0,33
"Bhutan",2011-08-14,60,9281,8,0,0.65,0,33
"DPR Korea",2011-08-14,0,0,0,0,0,0,33
"Maldives",2011-08-14,0,0,0,0,0,0,33
"Nepal",2011-08-14,0,0,0,0,0,0,33
"Sri Lanka",2011-08-14,0,0,0,0,0,0,33
"Thailand",2011-08-14,144280,2361750,0,0,6.11,0,33
"Timor-Leste",2011-08-14,0,0,0,0,0,0,33
"All Country",2011-08-14,144340,2371031,8,0,6.09,0,33
"Bangladesh",2011-08-21,0,0,0,0,0,0,34
"Bhutan",2011-08-21,0,0,0,0,0,0,34
"DPR Korea",2011-08-21,0,0,0,0,0,0,34
"Maldives",2011-08-21,0,0,0,0,0,0,34
"Nepal",2011-08-21,0,0,0,0,0,0,34
"Sri Lanka",2011-08-21,0,0,0,0,0,0,34
"Thailand",2011-08-21,159619,2384882,0,0,6.69,0,34
"Timor-Leste",2011-08-21,0,0,0,0,0,0,34
"All Country",2011-08-21,159619,2384882,0,0,6.69,0,34
"Bangladesh",2011-08-28,0,0,0,0,0,0,35
"Bhutan",2011-08-28,106,106,9,0,100,0,35
"DPR Korea",2011-08-28,0,0,0,0,0,0,35
"Maldives",2011-08-28,0,0,0,0,0,0,35
"Nepal",2011-08-28,0,0,0,0,0,0,35
"Sri Lanka",2011-08-28,0,0,0,0,0,0,35
"Thailand",2011-08-28,155553,2276609,0,0,6.83,0,35
"Timor-Leste",2011-08-28,0,0,0,0,0,0,35
"All Country",2011-08-28,155659,2276715,9,0,6.84,0,35
"Bangladesh",2011-09-04,0,0,0,0,0,0,36
"Bhutan",2011-09-04,0,0,0,0,0,0,36
"DPR Korea",2011-09-04,0,0,0,0,0,0,36
"Maldives",2011-09-04,0,0,0,0,0,0,36
"Nepal",2011-09-04,0,0,0,0,0,0,36
"Sri Lanka",2011-09-04,0,0,0,0,0,0,36
"Thailand",2011-09-04,148976,2298222,0,0,6.48,0,36
"Timor-Leste",2011-09-04,0,0,0,0,0,0,36
