"reporting_country","clade","date","clade_group"
"India",NA,2022-07-11,"Others"
"India",NA,2022-07-18,"Others"
"India",NA,2022-07-18,"Others"
"Thailand","WA",2022-07-18,"Others"
"India",NA,2022-07-18,"Others"
"Thailand","WA",2022-07-25,"Others"
"India",NA,2022-08-01,"Others"
"India",NA,2022-08-01,"Others"
"India",NA,2022-08-01,"Others"
"Thailand","WA",2022-08-01,"Others"
"India",NA,2022-08-01,"Others"
"India",NA,2022-08-01,"Others"
"Thailand","WA",2022-08-01,"Others"
"Thailand","WA",2022-08-15,"Others"
"India",NA,2022-08-15,"Others"
"Indonesia",NA,2022-08-15,"Others"
"Thailand","WA",2022-08-22,"Others"
"Thailand","WA",2022-08-22,"Others"
"India",NA,2022-08-29,"Others"
"India",NA,2022-09-05,"Others"
"Thailand","WA",2022-09-12,"Others"
"India",NA,2022-09-12,"Others"
"India",NA,2022-09-12,"Others"
"India",NA,2022-09-19,"Others"
"India",NA,2022-09-19,"Others"
"India",NA,2022-09-19,"Others"
"Thailand","WA",2022-09-26,"Others"
"Thailand","WA",2022-09-26,"Others"
"Thailand","WA",2022-10-10,"Others"
"Thailand","WA",2022-10-10,"Others"
"India",NA,2022-10-31,"Others"
"India",NA,2022-10-10,"Others"
"Sri Lanka",NA,2022-10-31,"Others"
"India",NA,2022-10-31,"Others"
"Sri Lanka",NA,2022-11-14,"Others"
"India",NA,2022-11-21,"Others"
"India",NA,2022-11-21,"Others"
"Thailand","WA",2022-12-12,"Others"
"Thailand","WA",2022-12-12,"Others"
"Thailand","WA",2023-01-16,"Others"
"Thailand","WA",2023-03-06,"Others"
"Thailand","WA",2023-03-13,"Others"
"Thailand","WA",2023-03-20,"Others"
"Thailand","WA",2023-03-27,"Others"
"Thailand","WA",2023-04-17,"Others"
"Thailand","WA",2023-04-17,"Others"
"Thailand","WA",2023-04-24,"Others"
"Thailand","WA",2023-05-01,"Others"
"Thailand","WA",2023-05-01,"Others"
"Thailand","WA",2023-05-08,"Others"
"Thailand",NA,2023-05-08,"Others"
"Thailand",NA,2023-05-08,"Others"
"Thailand",NA,2023-05-08,"Others"
"Thailand",NA,2023-05-15,"Others"
"Thailand",NA,2023-05-15,"Others"
"Thailand",NA,2023-05-15,"Others"
"Thailand",NA,2023-05-15,"Others"
"Thailand","WA",2023-05-15,"Others"
"Thailand",NA,2023-05-15,"Others"
"Thailand",NA,2023-05-22,"Others"
"Thailand",NA,2023-05-22,"Others"
"Thailand",NA,2023-05-22,"Others"
"Thailand",NA,2023-05-22,"Others"
"Thailand",NA,2023-05-22,"Others"
"Thailand","WA",2023-05-29,"Others"
"Thailand",NA,2023-05-29,"Others"
"Thailand",NA,2023-05-29,"Others"
"Thailand",NA,2023-05-29,"Others"
"Thailand",NA,2023-05-29,"Others"
"Thailand",NA,2023-05-29,"Others"
"Thailand",NA,2023-05-29,"Others"
"Thailand",NA,2023-05-29,"Others"
"Thailand",NA,2023-05-29,"Others"
"Thailand",NA,2023-06-05,"Others"
"Sri Lanka",NA,2023-06-05,"Others"
"Sri Lanka",NA,2023-06-05,"Others"
"Thailand","WA",2023-06-05,"Others"
"Thailand",NA,2023-06-05,"Others"
"Thailand",NA,2023-06-05,"Others"
"Thailand",NA,2023-06-12,"Others"
"Thailand",NA,2023-06-12,"Others"
"Thailand","WA",2023-06-12,"Others"
"Nepal",NA,2023-06-12,"Others"
"Thailand",NA,2023-06-12,"Others"
"Thailand",NA,2023-06-12,"Others"
"Thailand",NA,2023-06-12,"Others"
"Thailand",NA,2023-06-12,"Others"
"Thailand",NA,2023-06-12,"Others"
"Thailand",NA,2023-06-19,"Others"
"Thailand",NA,2023-06-12,"Others"
"Thailand",NA,2023-06-19,"Others"
"Thailand",NA,2023-06-19,"Others"
"Thailand",NA,2023-06-19,"Others"
"Thailand",NA,2023-06-19,"Others"
"Thailand",NA,2023-06-19,"Others"
"Thailand",NA,2023-06-19,"Others"
"Thailand",NA,2023-06-19,"Others"
"Thailand",NA,2023-06-19,"Others"
"Thailand",NA,2023-06-19,"Others"
"Thailand",NA,2023-06-19,"Others"
"Thailand",NA,2023-06-19,"Others"
"Thailand",NA,2023-06-19,"Others"
"Thailand",NA,2023-06-19,"Others"
"Thailand",NA,2023-06-19,"Others"
"Thailand",NA,2023-06-19,"Others"
"Thailand",NA,2023-06-19,"Others"
"Thailand","WA",2023-06-19,"Others"
"Thailand",NA,2023-06-19,"Others"
"Thailand",NA,2023-06-26,"Others"
"Thailand",NA,2023-06-19,"Others"
"Thailand",NA,2023-06-26,"Others"
"Thailand",NA,2023-06-26,"Others"
"Thailand",NA,2023-06-26,"Others"
"Thailand",NA,2023-06-26,"Others"
"Thailand",NA,2023-06-19,"Others"
"Thailand",NA,2023-06-26,"Others"
"Thailand",NA,2023-06-26,"Others"
"Thailand",NA,2023-06-26,"Others"
"Thailand","WA",2023-06-26,"Others"
"Thailand",NA,2023-06-26,"Others"
"Thailand",NA,2023-06-26,"Others"
"Thailand",NA,2023-06-26,"Others"
"Thailand",NA,2023-06-26,"Others"
"Thailand",NA,2023-06-26,"Others"
"Thailand",NA,2023-06-26,"Others"
"Thailand",NA,2023-06-26,"Others"
"Thailand",NA,2023-06-26,"Others"
"Thailand",NA,2023-06-26,"Others"
"Thailand",NA,2023-07-03,"Others"
"Thailand",NA,2023-07-03,"Others"
"Thailand",NA,2023-07-03,"Others"
"Thailand",NA,2023-07-03,"Others"
"Thailand","WA",2023-07-03,"Others"
"Thailand",NA,2023-07-03,"Others"
"Thailand",NA,2023-07-03,"Others"
"Thailand","WA",2023-07-03,"Others"
"Thailand",NA,2023-07-03,"Others"
"Thailand","WA",2023-07-03,"Others"
"Thailand","WA",2023-07-03,"Others"
"Thailand",NA,2023-07-03,"Others"
"Thailand","WA",2023-07-03,"Others"
"Thailand",NA,2023-07-03,"Others"
"Thailand",NA,2023-07-03,"Others"
"Thailand","WA",2023-07-10,"Others"
"Thailand",NA,2023-07-10,"Others"
"Thailand",NA,2023-07-10,"Others"
"Thailand",NA,2023-07-10,"Others"
"Thailand",NA,2023-07-10,"Others"
"Thailand",NA,2023-07-10,"Others"
"Thailand",NA,2023-07-10,"Others"
"Thailand",NA,2023-07-10,"Others"
"Thailand",NA,2023-07-10,"Others"
"Thailand",NA,2023-07-10,"Others"
