"reporting_country","date","count"
"India",2022-07-11,1
"India",2022-07-18,3
"Thailand",2022-07-18,1
"Thailand",2022-07-25,1
"India",2022-08-01,5
"Thailand",2022-08-01,2
"India",2022-08-15,1
"Indonesia",2022-08-15,1
"Thailand",2022-08-15,1
"Thailand",2022-08-22,2
"India",2022-08-29,1
"India",2022-09-05,1
"India",2022-09-12,1
"Thailand",2022-09-12,1
"India",2022-09-19,4
"India",2022-09-26,1
"Thailand",2022-09-26,2
"India",2022-10-10,1
"Thailand",2022-10-10,2
"India",2022-10-31,2
"Sri Lanka",2022-10-31,1
"Sri Lanka",2022-11-14,1
"India",2022-11-21,2
"Thailand",2022-12-12,2
"India",2023-01-02,1
"Thailand",2023-01-16,1
"India",2023-02-20,1
"Thailand",2023-03-13,1
"Thailand",2023-03-20,2
"Thailand",2023-03-27,1
"Thailand",2023-04-17,2
"Thailand",2023-04-24,1
"Thailand",2023-05-01,2
"Thailand",2023-05-08,5
"Thailand",2023-05-15,6
"India",2023-05-22,1
"Thailand",2023-05-22,5
"Thailand",2023-05-29,9
"Sri Lanka",2023-06-05,2
"Thailand",2023-06-05,4
"Nepal",2023-06-12,1
"Thailand",2023-06-12,12
"Thailand",2023-06-19,20
"India",2023-06-26,1
"Thailand",2023-06-26,15
"Thailand",2023-07-03,20
"Thailand",2023-07-10,14
"Thailand",2023-07-17,17
"Thailand",2023-07-24,27
"Thailand",2023-07-31,17
"Thailand",2023-08-07,33
"Thailand",2023-08-14,39
"Thailand",2023-08-21,39
"Thailand",2023-08-28,30
"Thailand",2023-09-04,19
"Thailand",2023-09-11,48
"Thailand",2023-09-18,42
"Thailand",2023-09-25,34
"Thailand",2023-10-02,31
"Thailand",2023-10-09,17
"Indonesia",2023-10-16,7
"Thailand",2023-10-16,28
"Indonesia",2023-10-23,14
"Thailand",2023-10-23,26
"Indonesia",2023-10-30,13
"Thailand",2023-10-30,23
"Indonesia",2023-11-06,10
"Thailand",2023-11-06,4
"Indonesia",2023-11-13,7
"Thailand",2023-11-13,21
"Indonesia",2023-11-20,8
"Thailand",2023-11-20,18
"Indonesia",2023-11-27,3
"Thailand",2023-11-27,14
"Indonesia",2023-12-04,3
"Thailand",2023-12-04,8
"Indonesia",2023-12-11,3
"Thailand",2023-12-11,7
"Indonesia",2023-12-18,3
"Thailand",2023-12-18,8
"Indonesia",2023-12-25,1
"Thailand",2023-12-25,3
"India",2024-01-01,1
"Indonesia",2024-01-01,1
"Thailand",2024-01-01,4
"Indonesia",2024-01-08,3
"Thailand",2024-01-08,6
"India",2024-01-15,1
"Indonesia",2024-01-15,1
"Thailand",2024-01-15,17
"Indonesia",2024-01-22,2
"Thailand",2024-01-22,5
"Thailand",2024-01-29,3
"Indonesia",2024-02-05,1
"Thailand",2024-02-05,4
"Indonesia",2024-02-12,3
"Thailand",2024-02-12,7
"Indonesia",2024-02-19,1
"Thailand",2024-02-19,9
"Thailand",2024-02-26,5
"Thailand",2024-03-04,2
"Thailand",2024-03-11,1
"India",2024-03-18,1
"Thailand",2024-03-18,2
"Thailand",2024-03-25,3
