"Division","Country"
"Barisal","Bangladesh"
"Chattogram","Bangladesh"
"Dhaka","Bangladesh"
"Khulna","Bangladesh"
"Rajshahi","Bangladesh"
"Rangpur","Bangladesh"
"Sylhet","Bangladesh"
"Paro","Bhutan"
"Thimphu","Bhutan"
"Andhra Pradesh","India"
"Assam","India"
"Bihar","India"
"Chhattisgarh","India"
"Delhi","India"
"Goa","India"
"Gujarat","India"
"Himachal Pradesh","India"
"Karnataka","India"
"Kerala","India"
"Madhya Pradesh","India"
"Maharashtra","India"
"Manipur","India"
"Meghalaya","India"
"Nagaland","India"
"Odisha","India"
"Punjab","India"
"Rajasthan","India"
"Sikkim","India"
"Tamil Nadu","India"
"Telangana","India"
"Tripura","India"
"Uttar Pradesh","India"
"Uttarakhand","India"
"West Bengal","India"
"Addu City (Seenu)","Maldives"
"Dhidhdhoo (Haa Alif)","Maldives"
"Fonadhoo (Laamu)","Maldives"
"Kulhudhuffushi (Haa Dhaalu)","Maldives"
"Malé","Maldives"
"Ayeyarwady","Myanmar"
"Kachin","Myanmar"
"Kayin","Myanmar"
"Mandalay","Myanmar"
"Mon","Myanmar"
"Naypyidaw","Myanmar"
"Rakhine","Myanmar"
"Yangon","Myanmar"
"Bagmati Province","Nepal"
"Gandaki Province","Nepal"
"Lumbini Province","Nepal"
"Sudurpashchim Province","Nepal"
"Eastern","Sri Lanka"
"North Central","Sri Lanka"
"Northern","Sri Lanka"
"Western","Sri Lanka"
"Ang Thong","Thailand"
"Bangkok","Thailand"
"Bueng Kan","Thailand"
"Buriram","Thailand"
"Chachoengsao","Thailand"
"Chai Nat","Thailand"
"Chaiyaphum","Thailand"
"Chanthaburi","Thailand"
"Chiang Mai","Thailand"
"Chiang Rai","Thailand"
"Chonburi","Thailand"
"Chumphon","Thailand"
"Kalasin","Thailand"
"Kamphaeng Phet","Thailand"
"Kanchanaburi","Thailand"
"Khon Kaen","Thailand"
"Krabi","Thailand"
"Lampang","Thailand"
"Lamphun","Thailand"
"Loei","Thailand"
"Lopburi","Thailand"
"Mae Hong Son","Thailand"
"Maha Sarakham","Thailand"
"Mukdahan","Thailand"
"Nakhon Nayok","Thailand"
"Nakhon Pathom","Thailand"
"Nakhon Phanom","Thailand"
"Nakhon Ratchasima","Thailand"
"Nakhon Sawan","Thailand"
"Nakhon Si Thammarat","Thailand"
"Nan","Thailand"
"Narathiwat","Thailand"
"Nong Bua Lamphu","Thailand"
"Nong Khai","Thailand"
"Nonthaburi","Thailand"
"Pathum Thani","Thailand"
"Pattani","Thailand"
"Phatthalung","Thailand"
"Phayao","Thailand"
"Phetchabun","Thailand"
"Phetchaburi","Thailand"
"Phichit","Thailand"
"Phitsanulok","Thailand"
"Phrae","Thailand"
"Phuket","Thailand"
"Prachinburi","Thailand"
"Prachuap Khiri Khan","Thailand"
"Ranong","Thailand"
"Ratchaburi","Thailand"
"Rayong","Thailand"
"Roi Et","Thailand"
"Sa Kaeo","Thailand"
"Sakon Nakhon","Thailand"
"Samut Prakan","Thailand"
"Samut Songkhram","Thailand"
"Satun","Thailand"
"Sing Buri","Thailand"
"Sisaket","Thailand"
"Songkhla","Thailand"
"Sukhothai","Thailand"
"Suphan Buri","Thailand"
"Surat Thani","Thailand"
"Surin","Thailand"
"Tak","Thailand"
"Trang","Thailand"
"Ubon Ratchathani","Thailand"
"Udon Thani","Thailand"
"Uthai Thani","Thailand"
"Uttaradit","Thailand"
"Yala","Thailand"
"Baucau","Timor-Leste"
"Dili","Timor-Leste"
"Liquiçá","Timor-Leste"
"Oecusse","Timor-Leste"
